Time	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11
72.30416666666666	1826	77653	91860	95031	83917	76000	73906	69734	59407	72256
72.36	1819	78102	90898	96828	82942	75134	72845	67257	62124	68367
72.41583333333334	1828	76938	91329	97196	84418	75936	72589	66359	58985	62015
72.47166666666666	1789	76468	91846	98737	83629	76811	75102	68890	60804	60828
72.5275	1785	76653	94206	95366	83385	75132	73676	66412	60540	66341
72.58333333333333	1791	77637	95288	98805	83747	75536	72543	68863	61040	66632
72.63916666666667	1834	78872	94157	97188	83620	77373	73261	66075	61491	59498
72.695	1779	76802	89088	98411	86300	75829	73005	68096	63831	60266
72.75083333333333	1801	78874	92704	99959	82565	75548	73126	66486	61691	60652
72.80666666666667	1795	78113	94153	95744	83877	75110	74569	67709	62114	59241
72.8625	1787	77692	92467	95607	84362	77377	71282	68438	61141	59637
72.91833333333334	1780	77659	91504	95692	80509	74192	72114	69392	61035	62129
72.97416666666666	1789	79052	92324	96309	85596	76310	72865	66609	61541	63617
73.03	1782	78372	91138	97971	85593	75865	72170	69072	60644	60458
73.08583333333333	1837	76948	92948	96595	82208	76169	74598	68267	60336	59382
73.14166666666667	1834	77972	91351	95534	84668	76838	72854	67384	61021	55158
73.1975	1845	79658	88780	98849	85544	74879	71578	69705	57834	55520
73.25333333333333	1857	77012	92156	96823	82551	76658	74345	66307	58909	60216
73.30916666666667	1797	78370	92539	96384	85166	74121	72815	68675	59183	65992
73.365	1799	77016	94474	99038	82291	74561	72423	68241	59486	56962
73.42083333333333	1831	76880	94192	97497	84593	75043	72629	66451	57958	61623
73.47666666666667	1793	78488	90657	97370	86437	75824	72296	66095	61635	62097
73.5325	1840	77585	91674	95755	84284	77665	74159	66107	59646	61121
73.58833333333334	1790	79683	88247	95028	83981	74865	71240	66842	61543	64815
73.64416666666666	1818	78152	87808	99497	83777	76191	72624	66344	61873	65590
73.7	1785	80352	89910	99494	85553	75989	73550	68206	64477	64777
73.75583333333333	1803	78032	89221	95949	83791	75719	73421	69039	62664	63140
73.81166666666667	1799	78012	92135	99797	81139	76248	73551	68664	60124	62598
73.8675	1844	77571	90394	98490	84153	75896	73106	66751	60895	62937
73.92333333333333	1873	79124	89949	96130	81147	74744	73044	67622	60537	59041
73.97916666666667	1768	78368	91557	94786	84544	77264	73039	68745	60712	62424
74.035	1770	80562	92216	97117	84161	74371	73623	68019	60438	62459
74.09083333333334	1775	78878	91949	96475	83259	75491	74452	67906	57772	60479
74.14666666666666	1807	78661	89413	98760	82161	74519	73551	67379	58533	64660
74.2025	1804	77493	89054	96594	81006	75444	73333	67983	58318	58882
74.25833333333334	1813	77255	89354	97882	84204	74705	74976	67901	61689	63068
74.31416666666667	1808	77308	90392	99629	85251	77172	72510	67493	62283	59058
74.37	1809	78047	87942	96631	85176	75367	70955	67857	58103	61642
74.42583333333333	1834	76646	89762	97511	83866	75466	73655	66529	60900	60465
74.48166666666667	1815	79134	88823	95255	83365	75118	72365	68352	58562	56791
74.5375	1794	78644	93547	98331	83248	75688	73822	68784	61008	58293
74.59333333333333	1856	80199	91797	97921	81310	75172	70859	66203	59557	56738
74.64916666666667	1794	79360	93380	95782	82900	74762	71233	66095	58940	58962
74.705	1814	78825	91965	98129	84994	76091	72970	67090	58917	59174
74.76083333333334	1813	78986	94307	97515	86563	76652	74287	68469	60492	59802
74.81666666666666	1795	78408	91325	97743	82422	74395	72178	68260	59796	56556
74.8725	1791	78654	90680	96705	84966	77372	73484	68378	61354	58040
74.92833333333333	1763	80011	94303	95009	81720	74079	72253	67511	58470	55933
74.98416666666667	1780	80224	90781	96860	82305	75418	71951	69027	59826	57788
75.04	1778	77456	93488	98591	82251	76421	71895	67259	58896	53959
75.09583333333333	1827	78569	91616	98675	82538	75871	72508	69220	59106	56475
75.15166666666667	1828	79385	92815	95902	84269	75087	72646	69107	60029	58414
75.2075	1812	78464	91883	96859	83505	76863	72069	68131	58590	55789
75.26333333333334	1843	78282	91311	97643	84591	76196	73168	67165	58134	54900
75.31916666666666	1777	79532	94433	97247	82639	76394	72723	68971	60417	56598
75.375	1792	76237	90594	91434	82449	75157	73932	67972	60543	55618
75.43083333333334	1808	75946	91936	95502	83422	75798	72530	69345	59253	57357
