Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03
0.933333	15568	14582	17179	16594	18369	18313	26972	27888	28134	33890	37968	33968	35514	35831	35637	33247	31687	36657	36036	35748	28061	35150	35106	34763	35924	36837	37780	29700	29704	30294	35985	32675	33398	36396	32435	28677	24742	38495	39142	39644	36181	38934	30059	30976	31020	29476	34336	36076	34832	36609	36079	37959	37563	37360	39964	40498	41165	30210	30284	28956	32134	32204	34514
0.950000	15995	15055	17832	17234	18312	18920	27357	28280	28303	34415	38092	35096	35799	36062	35797	34064	32768	37340	36664	36280	28720	35138	35292	34300	35290	36912	37674	30096	29618	30032	36452	33812	34201	37145	32925	29552	24664	38384	39606	40010	35937	38805	30055	30880	30844	30285	35379	36699	35539	36655	36199	38334	37734	37724	39957	40356	41318	30374	29922	28609	31804	32375	34199
0.966667	16048	15040	18029	17616	19023	18977	28632	28951	28942	34851	38803	35689	35962	36232	36030	34124	33514	37201	36795	35964	29156	35349	36106	34795	35940	37149	37525	30092	29142	30285	36899	34357	35351	37895	33509	29441	24451	39156	39584	40256	36089	38790	30374	30819	31300	30779	35921	36949	36022	37316	36339	38328	37756	37911	39952	40466	41253	29646	30333	28668	31391	32339	34512
0.983333	16070	15497	18068	17754	19217	19259	28703	29454	29636	35786	39506	35725	36118	36442	36044	34816	33745	37855	37257	36629	29864	35209	35445	34730	35704	37296	37004	29570	29248	30339	36860	34018	35902	37605	34278	29936	25051	38810	39844	40544	36123	38589	29936	30622	31183	32028	36721	37560	35568	37476	36682	38973	38473	38270	40696	40368	41490	29705	30197	28573	31415	32598	34000
1.000000	16318	15472	18423	18116	19183	19920	29153	30304	30312	36363	40209	36789	35965	36606	36340	35645	34397	38210	37492	36674	30055	35600	36140	34480	36047	37145	37176	29779	29112	29822	37448	34970	36544	38749	35402	29952	24693	39213	40035	41395	36214	39036	29984	30700	30801	32132	37511	38261	35961	37716	37504	39331	38148	38055	40068	40067	41006	29810	29903	28530	31280	32320	34608
1.016667	16615	16324	18592	18446	19856	19942	29901	30692	30472	36148	40773	36985	36371	36720	36885	35531	35240	38412	38164	37232	30781	35237	36244	35157	36147	37038	37612	29834	29215	30300	38098	35606	36975	38980	35402	30144	24742	39531	39924	41550	35861	39369	29416	30583	30850	33200	38349	39296	36586	37530	37436	39107	38767	38833	40656	40441	41487	29475	30305	28600	31778	32066	33936
1.033333	16772	16241	19256	18522	20232	20580	30154	30776	31296	37092	41576	37461	36612	36820	36381	35917	35424	38690	37385	36707	30592	35320	36426	35288	35740	37526	38296	29744	29179	30075	38574	35863	37616	39146	35644	29810	24613	39444	39802	41182	36129	39156	29967	30556	30570	33604	38886	39468	36364	37940	37469	39007	38844	38427	39845	40380	41315	29753	30004	28635	31528	32115	33743
1.050000	16964	16313	19224	19106	20600	21015	30932	31072	31143	37956	40844	38168	36757	37088	36696	35823	35960	38160	38267	38068	31034	35523	36319	35410	35517	37460	38121	29920	29323	30269	38860	36427	38552	39982	36569	30088	24606	39088	40068	40683	35828	38881	29960	30912	30972	34410	39924	40056	36736	38266	37873	39755	38074	38539	40380	40792	41749	29710	30376	28676	31125	31786	33957
1.066667	17024	16318	19930	19223	20854	20990	31488	31974	31950	37794	41896	37907	36893	37579	36359	36359	36343	38527	37684	37428	32001	35455	35811	35396	35728	36820	37303	29521	28940	30129	39194	37036	38734	40631	36651	30413	24672	39226	40373	41330	35684	39300	29679	30624	30456	34719	40501	40597	37258	38054	38420	39507	38136	38588	40372	40177	41665	29539	29810	28372	31462	31706	34105
1.083333	17458	16960	19947	19666	21279	21348	32102	32150	32627	38521	42196	38550	37200	37397	36495	36671	36653	38780	38513	38102	31776	35224	36446	35274	36160	37131	37546	29768	28831	29492	39597	37493	39338	40444	36778	30030	24488	39412	40804	41048	36105	39235	29527	30330	31016	35398	40868	40356	37303	37846	38370	40120	38244	38516	40422	40744	41168	29761	29969	27862	31680	31447	34046
