Time	B02	B04	B06	C02	C04	C06
3.424444	1996	446	14226	2026	494	11630
3.430833	2000	439	14264	2020	496	11715
3.437222	1978	446	14265	2004	487	11735
3.443611	2000	439	14312	2030	491	11807
3.450000	1995	446	14351	2021	489	11823
3.456389	2010	438	14377	2011	493	11933
3.462778	2012	445	14457	2030	484	11970
3.469167	1991	445	14520	2046	490	11969
3.475556	2012	437	14388	2029	487	11982
3.481944	2002	446	14484	2017	499	12057
3.488333	2008	433	14430	2028	489	12084
3.494722	2001	437	14543	2036	491	12066
3.501111	2021	447	14614	2046	492	12129
3.507500	2025	437	14734	2044	493	12230
3.513889	2026	434	14745	2042	489	12204
3.520278	2027	447	14710	2040	486	12257
3.526667	2026	447	14769	2071	502	12312
3.533056	2024	440	14854	2052	484	12333
3.539444	2022	444	14913	2055	496	12395
3.545833	2021	444	14908	2045	493	12470
3.552222	2012	446	14766	2058	497	12501
3.558611	2017	439	14872	2068	497	12562
3.565000	2037	439	14898	2059	497	12567
3.571389	2041	436	14916	2064	493	12567
3.577778	2062	433	15019	2090	486	12563
3.584167	2038	432	14992	2040	483	12629
3.590556	2036	444	15020	2067	495	12658
3.596944	2046	448	15082	2058	490	12709
3.603333	2037	434	15186	2070	493	12806
3.609722	2040	430	15224	2081	500	12826
3.616111	2061	438	15218	2073	491	12873
3.622500	2048	433	15166	2091	492	12914
3.628889	2052	436	15310	2093	491	12858
3.635278	2066	440	15346	2092	492	12952
3.641667	2065	445	15360	2074	492	13002
3.648056	2062	439	15379	2100	491	13002
3.654444	2046	436	15579	2091	486	13019
3.660833	2068	443	15544	2090	494	13114
3.667222	2067	441	15549	2111	482	13152
3.673611	2068	447	15628	2102	495	13145
3.680000	2071	448	15612	2133	492	13139
3.686389	2077	439	15660	2096	496	13250
3.692778	2072	445	15668	2110	500	13212
3.699167	2075	446	15608	2114	498	13278
3.705556	2089	444	15687	2110	499	13278
3.711944	2076	438	15708	2102	487	13277
3.718333	2076	437	15875	2111	499	13444
3.724722	2070	445	15907	2125	489	13437
3.731111	2095	441	15966	2120	498	13477
3.737500	2113	436	15999	2118	497	13484
3.743889	2092	441	16105	2115	501	13532
3.750278	2095	441	16011	2119	488	13571
3.756667	2099	439	16126	2125	491	13651
3.763056	2075	442	16127	2154	494	13659
3.769444	2102	438	16172	2128	496	13687
3.775833	2100	434	16064	2138	489	13692
3.782222	2107	444	16114	2141	496	13714
3.788611	2108	448	16317	2123	492	13759
3.795000	2108	444	16340	2158	492	13744
3.801389	2120	437	16339	2136	491	13845
3.807778	2126	434	16338	2140	498	13887
3.814167	2127	439	16363	2151	500	13883
3.820556	2119	444	16366	2145	494	13945
3.826944	2116	442	16343	2151	498	13935
3.833333	2124	444	16421	2146	507	14022
3.839722	2143	448	16556	2151	495	14047
3.846111	2142	445	16602	2162	500	14063
3.852500	2114	439	16604	2163	498	14061
3.858889	2113	436	16595	2159	495	14116
3.865278	2139	444	16630	2165	500	14204
3.871667	2139	437	16731	2164	482	14230
3.878056	2143	443	16886	2161	494	14219
3.884444	2133	440	16846	2184	485	14238
3.890833	2139	437	16782	2188	490	14266
3.897222	2136	442	16778	2166	501	14299
3.903611	2132	443	16847	2165	490	14270
3.910000	2166	442	16875	2178	498	14354
3.916389	2158	441	16965	2211	500	14424
3.922778	2151	447	16975	2198	493	14486
3.929167	2159	441	17046	2185	496	14520
3.935556	2147	438	17059	2207	497	14521
3.941944	2154	444	17097	2178	499	14531
3.948333	2154	446	17158	2178	499	14593
3.954722	2147	441	17050	2197	499	14592
3.961111	2160	435	17120	2203	492	14686
3.967500	2160	450	17245	2215	507	14697
3.973889	2168	441	17282	2200	509	14709
3.980278	2194	447	17491	2218	506	14791
3.986667	2172	442	17571	2193	505	14785
3.993056	2170	444	17591	2225	500	14813
3.999444	2181	447	17562	2226	498	14820
4.005833	2177	444	17605	2220	495	14908
4.012222	2206	442	17646	2227	507	14998
4.018611	2189	443	17643	2227	491	15050
4.025000	2178	443	17634	2247	502	14964
4.031389	2208	440	17647	2227	508	15040
4.037778	2200	443	17661	2232	500	15085
4.044167	2203	443	17708	2215	499	15062
4.050556	2222	446	17573	2215	494	15088
4.056944	2211	441	17727	2238	499	15096
4.063333	2211	439	17646	2236	500	15180
4.069722	2198	439	17737	2230	497	15268
4.076111	2201	438	17692	2232	489	15259
4.082500	2196	441	17803	2225	499	15271
4.088889	2212	443	17871	2241	497	15313
4.095278	2214	440	17867	2256	498	15314
4.101667	2235	447	17889	2263	505	15364
4.108056	2214	445	17945	2245	494	15382
4.114444	2230	448	18034	2248	498	15446
4.120833	2225	440	17984	2248	504	15434
4.127222	2230	447	18000	2274	498	15378
4.133611	2235	434	18110	2265	505	15490
4.140000	2213	444	18096	2262	503	15508
4.146389	2223	438	18096	2275	503	15667
4.152778	2237	444	18174	2262	500	15644
4.159167	2223	437	18172	2272	510	15747
4.165556	2239	439	18225	2269	495	15716
4.171944	2243	444	18214	2274	498	15799
4.178333	2243	437	18323	2276	501	15785
4.184722	2221	440	18394	2276	502	15828
4.191111	2261	437	18471	2268	498	15852
4.197500	2249	440	18459	2287	500	15814
4.203889	2245	449	18445	2303	504	15863
4.210278	2243	443	18547	2285	501	15913
4.216667	2239	437	18546	2299	494	15918
4.223056	2262	438	18583	2302	499	15951
4.229444	2243	443	18666	2294	504	16025
4.235833	2252	446	18701	2297	500	16022
4.242222	2288	437	18669	2304	495	16049
4.248611	2270	440	18780	2303	487	16025
4.255000	2270	440	18794	2302	487	16056
4.261389	2271	445	18922	2313	492	16074
4.267778	2273	443	18859	2306	492	16037
4.274167	2275	447	18819	2311	495	16111
4.280556	2283	438	18854	2319	500	16239
4.286944	2258	444	18828	2330	505	16274
4.293333	2263	435	18915	2326	505	16289
4.299722	2274	444	18958	2309	497	16368
4.306111	2283	450	19019	2317	506	16372
